mean_no_hedge;mean_with_hedge;mean_saving;std_no_hedge;std_with_hedge;p95_no_hedge;p95_with_hedge;p05_no_hedge;p05_with_hedge;hedge_ratio;p95_reduction;std_reduction
21882094929,61;21882094929,61;0,00;6657548431,01;6657548431,01;34363972666,36;34363972666,36;13629524232,47;13629524232,47;0,00;0,00;0,00
21882094929,61;21676401634,71;205693294,90;6657548431,01;4993161323,26;34363972666,36;31037809937,27;13629524232,47;15486973611,85;0,25;3326162729,09;1664387107,75
21882094929,61;21470708339,81;411386589,81;6657548431,01;3328774215,51;34363972666,36;27711647208,18;13629524232,47;17344422991,24;0,50;6652325458,18;3328774215,51
21882094929,61;21265015044,90;617079884,71;6657548431,01;1664387107,75;34363972666,36;24385484479,09;13629524232,47;19201872370,62;0,75;9978488187,27;4993161323,26
21882094929,61;21059321750,00;822773179,61;6657548431,01;0,00;34363972666,36;21059321750,00;13629524232,47;21059321750,00;1,00;13304650916,36;6657548431,01
